> epoch: 2, (batch_index/batches_per_epoch): 27/39, d1=0.098, d2=0.025 g=4.249
> epoch: 2, (batch_index/batches_per_epoch): 28/39, d1=0.157, d2=0.025 g=4.161
> epoch: 2, (batch_index/batches_per_epoch): 29/39, d1=0.103, d2=0.023 g=4.215
> epoch: 2, (batch_index/batches_per_epoch): 30/39, d1=0.117, d2=0.024 g=4.253
> epoch: 2, (batch_index/batches_per_epoch): 31/39, d1=0.106, d2=0.022 g=4.244
> epoch: 2, (batch_index/batches_per_epoch): 32/39, d1=0.017, d2=0.022 g=4.529
> epoch: 2, (batch_index/batches_per_epoch): 33/39, d1=0.129, d2=0.026 g=4.380
> epoch: 2, (batch_index/batches_per_epoch): 34/39, d1=0.060, d2=0.025 g=4.286
> epoch: 2, (batch_index/batches_per_epoch): 35/39, d1=0.094, d2=0.063 g=4.174
> epoch: 2, (batch_index/batches_per_epoch): 36/39, d1=0.028, d2=0.078 g=4.407
> epoch: 2, (batch_index/batches_per_epoch): 37/39, d1=0.048, d2=0.064 g=4.965
> epoch: 2, (batch_index/batches_per_epoch): 38/39, d1=0.069, d2=0.118 g=5.192
> epoch: 3, (batch_index/batches_per_epoch): 0/39, d1=0.094, d2=0.147 g=6.189
> epoch: 3, (batch_index/batches_per_epoch): 1/39, d1=0.183, d2=0.061 g=5.741
> epoch: 3, (batch_index/batches_per_epoch): 2/39, d1=0.231, d2=0.136 g=5.227
> epoch: 3, (batch_index/batches_per_epoch): 3/39, d1=0.244, d2=0.247 g=6.605
> epoch: 3, (batch_index/batches_per_epoch): 4/39, d1=0.447, d2=0.058 g=5.069
> epoch: 3, (batch_index/batches_per_epoch): 5/39, d1=0.360, d2=0.462 g=6.260
> epoch: 3, (batch_index/batches_per_epoch): 6/39, d1=0.928, d2=0.190 g=3.347
> epoch: 3, (batch_index/batches_per_epoch): 7/39, d1=0.521, d2=1.198 g=5.018
> epoch: 3, (batch_index/batches_per_epoch): 8/39, d1=1.035, d2=0.197 g=3.871
> epoch: 3, (batch_index/batches_per_epoch): 9/39, d1=0.437, d2=0.447 g=4.204
> epoch: 3, (batch_index/batches_per_epoch): 10/39, d1=0.228, d2=0.059 g=4.809
> epoch: 3, (batch_index/batches_per_epoch): 11/39, d1=0.197, d2=0.070 g=4.596
> epoch: 3, (batch_index/batches_per_epoch): 12/39, d1=0.193, d2=0.059 g=4.482
> epoch: 3, (batch_index/batches_per_epoch): 13/39, d1=0.140, d2=0.040 g=4.535
> epoch: 3, (batch_index/batches_per_epoch): 14/39, d1=0.126, d2=0.022 g=4.841
> epoch: 3, (batch_index/batches_per_epoch): 15/39, d1=0.109, d2=0.024 g=4.772
> epoch: 3, (batch_index/batches_per_epoch): 16/39, d1=0.121, d2=0.025 g=4.732
> epoch: 3, (batch_index/batches_per_epoch): 17/39, d1=0.063, d2=0.017 g=5.037
> epoch: 3, (batch_index/batches_per_epoch): 18/39, d1=0.063, d2=0.013 g=5.126
